FIREFLY   	Peugeot 107                   	MCMR      	 26.57	 FULLEMPTY
THRIFTY   	Peugeot 107                   	MCMR      	 67.03	  FULLFULL
HERTZ     	Peugeot 107                   	MCMR      	 67.98	  FULLFULL
ENTERPRISE	Peugeot 107                   	MCMR      	 78.10	  FULLFULL
SIXT      	Peugeot 107                   	MCMR      	 97.08	  FULLFULL
SIXT      	Smart Fortwo                  	MUMR      	115.76	  FULLFULL
AVIS      	Peugeot 107                   	MCMR      	145.52	  FULLFULL
FIREFLY   	Volkswagen Polo               	EDMR      	 29.79	 FULLEMPTY
FIREFLY   	Renault Clio Estate           	EWMR      	 45.16	 FULLEMPTY
ENTERPRISE	Volkswagen Polo               	EDMR      	105.51	  FULLFULL
SIXT      	Opel Corsa                    	ECMN      	107.58	  FULLFULL
SIXT      	Volkswagen Polo               	EDMR      	128.93	  FULLFULL
AVIS      	Volkswagen Polo               	EDMR      	160.73	  FULLFULL
FIREFLY   	Volkswagen Golf               	CDMR      	 33.84	 FULLEMPTY
FIREFLY   	Citroen Berlingo              	CMMV      	 35.67	 FULLEMPTY
SIXT      	Volkswagen Golf               	CDMR      	134.45	  FULLFULL
ENTERPRISE	Volkswagen Golf               	CDMR      	142.05	  FULLFULL
BUDGET    	Opel Astra                    	CCMR      	177.15	  FULLFULL
SIXT      	Citroen C4 Cactus             	CGAR      	191.54	  FULLFULL
AVIS      	Opel Astra                    	CCMR      	203.32	  FULLFULL
ENTERPRISE	Citroen Berlingo              	CMMV      	212.23	  FULLFULL
SIXT      	Ford Focus Estate             	CWMR      	222.56	  FULLFULL
AVIS      	Volkswagen Golf Diesel        	CDMD      	258.69	  FULLFULL
BUDGET    	Volkswagen Golf               	CDMR      	268.97	  FULLFULL
AVIS      	Ford Focus Estate             	CWMR      	291.28	  FULLFULL
ENTERPRISE	Volkswagen Golf               	CDAR      	516.28	  FULLFULL
ENTERPRISE	Toyota Avensis                	IDMR      	124.84	  FULLFULL
FIREFLY   	Volkswagen Touran             	IVMR      	125.92	 FULLEMPTY
SIXT      	BMW 2 Series Active Tourer    	JDMR      	183.14	  FULLFULL
SIXT      	Audi A3                       	ICMR      	186.37	  FULLFULL
ENTERPRISE	Volkswagen Passat             	SDMR      	206.50	  FULLFULL
BUDGET    	Toyota Avensis                	IDMR      	211.89	  FULLFULL
ENTERPRISE	Renault Scenic                	IMMR      	224.74	  FULLFULL
SIXT      	BMW 3 Series                  	FDMR      	225.18	  FULLFULL
SIXT      	BMW 2 Series Active Tourer    	JDAR      	239.18	  FULLFULL
SIXT      	Renault Scenic                	JGMR      	245.09	  FULLFULL
SIXT      	Mini Convertible              	NTMR      	248.85	  FULLFULL
SIXT      	Mercedes A Class              	ICAV      	254.02	  FULLFULL
ENTERPRISE	Renault Scenic                	JGMR      	268.42	  FULLFULL
SIXT      	Toyota Rav4                   	IFMR      	276.73	  FULLFULL
SIXT      	Volkswagen Passat Estate      	SWMR      	292.78	  FULLFULL
SIXT      	BMW 3 Series                  	FDAR      	295.22	  FULLFULL
AVIS      	Skoda Octavia Diesel          	IDMD      	310.22	  FULLFULL
AVIS      	Mercedes A Class              	ICAV      	310.56	  FULLFULL
SIXT      	Mercedes E Class              	PDMR      	325.38	  FULLFULL
SIXT      	Toyota Rav4                   	IFAR      	328.62	  FULLFULL
AVIS      	Toyota Avensis                	IDMR      	373.69	  FULLFULL
ENTERPRISE	Volkswagen Touran             	IVAR      	392.35	  FULLFULL
SIXT      	Mercedes E Class              	PDAR      	403.22	  FULLFULL
ENTERPRISE	Toyota Avensis                	IDAR      	413.05	  FULLFULL
AVIS      	Toyota Avensis                	IDAR      	465.34	  FULLFULL
AVIS      	Volkswagen Touran Diesel      	IVMD      	495.74	  FULLFULL
ENTERPRISE	Ford Galaxy                   	FVMR      	512.95	  FULLFULL
AVIS      	Volkswagen Touran Diesel      	IVAD      	520.49	  FULLFULL
AVIS      	Ford Galaxy Diesel            	FVMD      	520.49	  FULLFULL
AVIS      	Mercedes Viano                	OVAR      	572.44	  FULLFULL
ENTERPRISE	Mercedes Vito Traveliner      	SVMR      	579.11	  FULLFULL
AVIS      	Mercedes Vito Traveliner      	SVMR      	624.38	  FULLFULL
SIXT      	Ford Galaxy                   	FVMR      	692.45	  FULLFULL
AVIS      	Mercedes E Class              	PDAR      	948.24	  FULLFULL
MARBESOL  	Volkswagen Up                 	MDMR      	  4.00	 FULLEMPTY
DELPASO   	Volkswagen Up                 	MDMR      	  5.92	 FULLEMPTY
DELPASO   	Peugeot 107                   	MCMR      	  5.92	 FULLEMPTY
CENTAURO  	Peugeot 107                   	MCMR      	  9.53	 FULLEMPTY
NIZA      	Volkswagen Up                 	MDMR      	  9.78	 FULLEMPTY
NIZA      	Volkswagen Up                 	MDMR      	 18.60	  FULLFULL
RECORD    	Peugeot 107                   	MCMR      	 19.10	 FULLEMPTY
